protein	sha256
TARDBP	84c328b512924234c6d5d7d0e47ad0bec6019fe05f128c05add22f9318d5085c
FUS	7cf5b634c260758b47bcde789c492805e59512a7d11d81a9151d9515061394f1
RBFOX2	6fc4f93798bfab5537332c3317692570a3a99750932fcc80feb0bee67e0eb158
PUM2	a19c6fc63288bd350c9a22db54d02f51af7f87d071ae987032df8578b1f22527
IGF2BP1	e8c6ef5e199d91d4c0a11df022ddade93720cf4013dcd1bd3ae1f487abc1f667
MATR3	861448af72eb560475d732c5ff6ee96abcd331ed3c21a5cc86c1e52dbda94081
TIA1	e9d057819b454f5005bfd4ec9736ec9e336fa12add0259a565341ac87b067565
EWSR1	97d3876f64c77c08853afaa43dc3bf11a04ff5d10d2baca539f217ef115e9bb8
IGF2BP2	ed4ab0899afb62d3719d59cc1daf12200279fd308a76dc95285832fb20cab91f
IGF2BP3	02758623b523c7b5a3d2bc8daecf0aae5391e96d9306c0045e93dddeef3531bf
ELAVL1	be58fb4a8a8ed7c23d1d8687e5b0c979ab02d98e809e4c7dee8fb865a61508ed
LIN28B	8e1c1170e4b4d723783d11c205f11780a9befd5f1c13bf4052e902352cc2769d
PTBP1	72952a5e1c0458d887db7513110d0b56487196aac60c303a8c422c92c19a69c6
QKI	197b82ed9e2e7fa8b257f59c8fdcc04cb51dd16023fc7c61dcf5e2a18bbe9130
U2AF1	fc28e60f57a62cb6b552c880ba846dbc1a246ee06b9e95af8f0ff86a16a4f126
PUM1	0165e94f07f7663433b180b47a8454631cef19570df93ef1334832bd2482a90d
