protein	model	splice_auroc	primary_auroc	drop
LIN28B	CNN	0.753	0.7358	-0.0172
LIN28B	RNA-FM (LoRA)	0.7966	0.774	-0.0226
LIN28B	RNABERT	0.708	0.7062	-0.0018
LIN28B	SpliceBERT	0.8604	0.8631	0.0027
PUM1	CNN	0.6734	0.6786	0.0052
PUM1	RNA-FM (LoRA)	0.7424	0.6967	-0.0457
PUM1	RNABERT	0.5324	0.529	-0.0034
PUM1	SpliceBERT	0.8539	0.8402	-0.0137
RBFOX2	CNN	0.8185	0.7901	-0.0284
RBFOX2	RNA-FM (LoRA)	0.8112	0.8099	-0.0013
RBFOX2	RNABERT	0.7262	0.7178	-0.0084
RBFOX2	SpliceBERT	0.8441	0.8392	-0.0049
U2AF1	CNN	0.9446	0.9558	0.0112
U2AF1	RNA-FM (LoRA)	0.96	0.9536	-0.0064
U2AF1	RNABERT	0.911	0.9136	0.0026
U2AF1	SpliceBERT	0.9675	0.9733	0.0058
