model	protein	seconds	gpu_util_mean	gpu_mem_peak_gb
RNABERT	ELAVL1	150	27.433333333333334	0.6748046875
RNABERT	EWSR1	150	24.933333333333334	0.6572265625
RNABERT	FUS	115	16.956521739130434	0.6591796875
RNABERT	IGF2BP1	100	28.5	0.6357421875
RNABERT	IGF2BP2	65	18.615384615384617	0.6318359375
RNABERT	IGF2BP3	50	17.4	0.6591796875
RNABERT	LIN28B	115	25.434782608695652	0.6318359375
RNABERT	MATR3	120	21.208333333333332	0.6767578125
RNABERT	PTBP1	140	26.464285714285715	0.6767578125
RNABERT	PUM1	45	17.11111111111111	0.6318359375
RNABERT	PUM2	85	26.41176470588235	0.6748046875
RNABERT	QKI	80	12.625	0.6318359375
RNABERT	RBFOX2	70	22.785714285714285	0.6572265625
RNABERT	TARDBP	95	22.42105263157895	0.6357421875
RNABERT	TIA1	105	28.61904761904762	0.6318359375
RNABERT	U2AF1	55	12.181818181818182	0.6318359375
RNA-FM (LoRA)	ELAVL1	700	94.10714285714286	3.2197265625
RNA-FM (LoRA)	EWSR1	680	91.43382352941177	3.2607421875
RNA-FM (LoRA)	FUS	360	90.5	3.2607421875
RNA-FM (LoRA)	IGF2BP1	405	90.48148148148148	3.2744140625
RNA-FM (LoRA)	IGF2BP2	360	83.13888888888889	3.2197265625
RNA-FM (LoRA)	IGF2BP3	185	83.32432432432432	3.2607421875
RNA-FM (LoRA)	LIN28B	555	94.24324324324324	3.2626953125
RNA-FM (LoRA)	MATR3	410	92.23170731707317	3.2197265625
RNA-FM (LoRA)	PTBP1	645	94.86046511627907	3.2197265625
RNA-FM (LoRA)	PUM1	225	87.37777777777778	3.2392578125
RNA-FM (LoRA)	PUM2	435	92.29885057471265	3.2197265625
RNA-FM (LoRA)	QKI	200	83.325	3.2197265625
RNA-FM (LoRA)	RBFOX2	270	87.74074074074075	3.2607421875
RNA-FM (LoRA)	TARDBP	350	83.21428571428571	3.2314453125
RNA-FM (LoRA)	TIA1	470	93.17021276595744	3.2197265625
RNA-FM (LoRA)	U2AF1	125	74.16	3.2392578125
SpliceBERT	ELAVL1	165	65.15151515151516	1.7236328125
SpliceBERT	EWSR1	155	62.54838709677419	1.7255859375
SpliceBERT	FUS	125	40.64	1.7236328125
SpliceBERT	IGF2BP1	130	63.65384615384615	1.7275390625
SpliceBERT	IGF2BP2	90	63.666666666666664	1.7236328125
SpliceBERT	IGF2BP3	80	61.6875	1.7236328125
SpliceBERT	LIN28B	125	66.32	1.7294921875
SpliceBERT	MATR3	100	62.7	1.7255859375
SpliceBERT	PTBP1	125	61.12	1.7255859375
SpliceBERT	PUM1	75	61.8	1.7333984375
SpliceBERT	PUM2	120	61.125	1.7236328125
SpliceBERT	QKI	90	35.72222222222222	1.7236328125
SpliceBERT	RBFOX2	120	45.5	1.7255859375
SpliceBERT	TARDBP	80	58.875	1.7275390625
SpliceBERT	TIA1	125	64.96	1.7236328125
SpliceBERT	U2AF1	40	47.625	1.7333984375
